country_name,year,num_outbreaks,diseases_list,total_confirmed_cases,total_outbreak_deaths,avg_cfr,iso3,total_vaccinations,people_fully_vaccinated,total_boosters,vaccinations_per_hundred,fully_vaccinated_per_hundred,max_daily_vaccinations,who_alerts,who_diseases,who_total_cases,who_total_deaths,who_avg_cfr,who_high_risk_alerts
Azerbaijan,2021.0,,,,,,AZE,11346166.0,4676520.0,1500264.0,109.54,45.15,85991.0,,,,,,
Azerbaijan,2022.0,,,,,,AZE,13857111.0,4862494.0,3362453.0,133.78,46.94,52993.0,,,,,,
Bahamas,2021.0,,,,,,BHS,300214.0,147365.0,6954.0,73.22,35.94,3473.0,,,,,,
Bahamas,2022.0,,,,,,BHS,364701.0,165633.0,36670.0,88.95,40.4,957.0,,,,,,
Bahamas,2023.0,,,,,,BHS,366359.0,166972.0,36965.0,89.36,40.73,13.0,,,,,,
Bahrain,2020.0,,,,,,BHR,58643.0,,,3.98,,11106.0,,,,,,
Bahrain,2021.0,,,,,,BHR,3226201.0,1177993.0,845062.0,219.14,80.01,22003.0,,,,,,
Bahrain,2022.0,,,,,,BHR,3476633.0,1226796.0,1008663.0,236.15,83.33,8063.0,,,,,,
Bangladesh,2001.0,1.0,Nipah Virus,341.0,241.0,71.0,,,,,,,,,,,,,
Bangladesh,2008.0,1.0,H5N1 Avian Influenza,8.0,1.0,12.5,,,,,,,,,,,,,
Bangladesh,2019.0,1.0,Dengue,101354.0,164.0,0.16,,,,,,,,,,,,,
Bangladesh,2020.0,1.0,COVID-19,521000.0,7800.0,1.5,,,,,,,,,,,,,
Bangladesh,2021.0,,,,,,BGD,106575146.0,40739751.0,,62.26,23.8,1504836.0,,,,,,
Bangladesh,2022.0,,,,,,BGD,334842984.0,125670627.0,60611619.0,195.6,73.41,3758404.0,,,,,,
Bangladesh,2023.0,,,,,,BGD,361674660.0,142193280.0,68558519.0,211.28,83.06,1054122.0,,,,,,
Bangladesh,2024.0,,,,,,BGD,361742554.0,142201684.0,68615250.0,211.32,83.07,2897.0,,,,,,
Barbados,2021.0,,,,,,BRB,299629.0,143677.0,,106.38,51.01,4526.0,,,,,,
Barbados,2022.0,,,,,,BRB,380980.0,154990.0,62170.0,135.27,55.03,5597.0,,,,,,
Barbados,2023.0,,,,,,BRB,384049.0,155047.0,62848.0,136.36,55.05,24.0,,,,,,
Belarus,2020.0,,,,,,BLR,0.0,,,0.0,,403.0,,,,,,
Belarus,2021.0,,,,,,BLR,7708200.0,3228165.0,114146.0,80.84,33.86,77113.0,,,,,,
Belarus,2022.0,,,,,,BLR,17358735.0,6332753.0,4612801.0,182.05,66.42,67398.0,,,,,,
Belarus,2023.0,,,,,,BLR,22511000.0,6414996.0,5720777.0,236.09,67.28,36327.0,,,,,,
Belgium,2020.0,1.0,COVID-19,646000.0,19500.0,3.0,BEL,926.0,1.0,,0.01,0.0,272.0,,,,,,
Belgium,2021.0,,,,,,BEL,21730351.0,8828993.0,4388262.0,186.43,75.75,155101.0,,,,,,
Belgium,2022.0,,,,,,BEL,29498086.0,9162420.0,11602245.0,253.07,78.61,118967.0,,,,,,
Belgium,2023.0,,,,,,BEL,31461345.0,9170819.0,13548731.0,269.92,78.68,55472.0,,,,,,
Belgium,2024.0,,,,,,BEL,31469387.0,9170945.0,13556521.0,269.99,78.68,368.0,,,,,,
Belize,2021.0,,,,,,BLZ,424634.0,199119.0,,104.77,49.13,4569.0,,,,,,
Belize,2022.0,,,,,,BLZ,501831.0,221248.0,51033.0,123.82,54.59,1244.0,,,,,,
Belize,2023.0,,,,,,BLZ,510717.0,221402.0,53198.0,126.01,54.63,400.0,,,,,,
Benin,2021.0,,,,,,BEN,1773592.0,1319264.0,,13.28,9.88,60281.0,,,,,,
Benin,2022.0,,,,,,BEN,4232541.0,2742837.0,,31.7,20.54,22068.0,,,,,,
Bermuda,2021.0,,,,,,BMU,112695.0,45213.0,20267.0,175.52,70.42,1224.0,,,,,,
Bermuda,2022.0,,,,,,BMU,132042.0,47657.0,35831.0,205.65,74.22,546.0,,,,,,
Bhutan,2021.0,,,,,,BTN,1154843.0,565081.0,,147.59,72.22,91636.0,,,,,,
Bhutan,2022.0,,,,,,BTN,2011426.0,677669.0,634641.0,257.07,86.61,33832.0,,,,,,
Bolivia,2021.0,,,,,,BOL,9792844.0,4593214.0,548041.0,80.11,37.58,80071.0,,,,,,
